Attribute,Description
DIGIPLAY_12,KBM-Flags-Digital Neighborhoods 2.0-12 Bargain Seeking Social Families
DIGIPLAY_13,KBM-Flags-Digital Neighborhoods 2.0-13 Entertainment Loving Families on a Budget
DIGIPLAY_14,KBM-Flags-Digital Neighborhoods 2.0-14 Young at Heart Mobile Shoppers
DIGIPLAY_15,KBM-Flags-Digital Neighborhoods 2.0-15 Mid-Aged Moderate Users
DIGIPLAY_16,KBM-Flags-Digital Neighborhoods 2.0-16 Connected Urban Explorers
DIGIPLAY_17,KBM-Flags-Digital Neighborhoods 2.0-17 Affluent Urbanites Rarely Online
DIGIPLAY_18,KBM-Flags-Digital Neighborhoods 2.0-18 Affluent Urban Shoppers On the Go
DIGIPLAY_19,KBM-Flags-Digital Neighborhoods 2.0-19 Busy Affluent Families Rarely Online
DIGIPLAY_99,KBM-Flags-Digital Neighborhoods 2.0-99 Unknown
HINSUB,KBM-Flags-Healthcare Insurance Subsidy Indicator
HINSUB_A,KBM-Flags-HINSUB-A-HH May Qualify for Medicare
HINSUB_B,KBM-Flags-HINSUB-B-HH May Qualify for reduced cost sharing & premium tax credits
HINSUB_C,KBM-Flags-HINSUB-C-HH May Qualify for premium tax credits only
HINSUB_U,KBM-Flags-HINSUB-U-HH Qualification Unknown
MB3G,KBM-Category-MindBase 3.0 Group
MB3G_00_UC,KBM-Category-MindBase 3.0 Group-Uncoded
MB3G_1_EXPRESS,KBM-Category-MindBase 3.0 Group-Expressive
MB3G_2_CONNECT,KBM-Category-MindBase 3.0 Group-Connected
MB3G_3_DRIVEN,KBM-Category-MindBase 3.0 Group-Driven
MB3G_4_ACAP,KBM-Category-MindBase 3.0 Group-At Capacity
MB3G_5_RS,KBM-Category-MindBase 3.0 Group-Rock Steady
MB3G_6_DTE,KBM-Category-MindBase 3.0 Group-Down to Earth
MB3G_7_SOPH,KBM-Category-MindBase 3.0 Group-Sophisticated
MB3G_8_MT,KBM-Category-MindBase 3.0 Group-Measure Twice
MB3G_9_DEV,KBM-Category-MindBase 3.0 Group-Devoted
MB3S,KBM-Category-MindBase 3.0 Segment
MB3S_00_UC,KBM-Category-MindBase 3.0 Segment-Uncoded
MB3S_1_EXELUS,KBM-Category-MindBase 3.0 Segment-Expressive & Elusive
MB3S_2_EXEVAL,KBM-Category-MindBase 3.0 Segment-Expressive & Evaluative
MB3S_3_EXEXUB,KBM-Category-MindBase 3.0 Segment-Expressive & Exuberant
MB3S_4_CCAUT,KBM-Category-MindBase 3.0 Segment-Connected & Cautious
MB3S_5_CCOOL,KBM-Category-MindBase 3.0 Segment-Connected & Cool
MB3S_6_CCONV,KBM-Category-MindBase 3.0 Segment-Connected & Conversant
MB3S_7_DDEL,KBM-Category-MindBase 3.0 Segment-Driven & Deliberate
MB3S_8_DDIL,KBM-Category-MindBase 3.0 Segment-Driven and Diligent
MB3S_9_DDY,KBM-Category-MindBase 3.0 Segment-Driven & Dynamic
MB3S_10_ACA,KBM-Category-MindBase 3.0 Segment-At Capacity & Autonomous
MB3S_11_ACAPP,KBM-Category-MindBase 3.0 Segment-At Capacity & Appraising
MB3S_12_ACATT,KBM-Category-MindBase 3.0 Segment-At Capacity & Attentive
MB3S_13_RSREL,KBM-Category-MindBase 3.0 Segment-Rock Steady & Reluctant
MB3S_14_RSRIG,KBM-Category-MindBase 3.0 Segment-Rock Steady & Rigorous
MB3S_15_RSRES,KBM-Category-MindBase 3.0 Segment-Rock Steady & Responsive
MB3S_16_DTEDET,KBM-Category-MindBase 3.0 Segment-Down to Earth & Detached
MB3S_17_DTEDIS,KBM-Category-MindBase 3.0 Segment-Down to Earth & Distinguishing
MB3S_18_DTEDAR,KBM-Category-MindBase 3.0 Segment-Down to Earth & Daring
MB3S_19_SSD,KBM-Category-MindBase 3.0 Segment-Sophisticated & Self-Directed
MB3S_20_SSY,KBM-Category-MindBase 3.0 Segment-Sophisticated & Systematic
MB3S_21_SSYN,KBM-Category-MindBase 3.0 Segment-Sophisticated & Synchronous
MB3S_22_MTWM,KBM-Category-MindBase 3.0 Segment-Measure Twice & Mindful
MB3S_23_MTWMET,KBM-Category-MindBase 3.0 Segment-Measure Twice & Meticulous
MB3S_24_MTWMOT,KBM-Category-MindBase 3.0 Segment-Measure Twice & Motivated
MB3S_25_DDIS,KBM-Category-MindBase 3.0 Segment-Devoted & Distant
MB3S_26_DDISC,KBM-Category-MindBase 3.0 Segment-Devoted & Discriminating
MB3S_27_DDEFT,KBM-Category-MindBase 3.0 Segment-Devoted & Deft
GENERS20,KBM-Category-Generations 2.0
GENERS20_UC,KBM-Category-Generations 2.0-Uncoded
GENERS20_M1,KBM-Category-Generations 2.0-Millennials-Country Traditionalists
GENERS20_M2,KBM-Category-Generations 2.0-Millennials-Success in the City
GENERS20_M3,KBM-Category-Generations 2.0-Millennials-Techies Living with Mom & Dad
GENERS20_M4,KBM-Category-Generations 2.0-Millennials-Caring for Mom & Dad
GENERS20_M5,KBM-Category-Generations 2.0-Millennials-Footloose on Little
GENERS20_M6,KBM-Category-Generations 2.0-Millennials-Online Fashionistas
GENERS20_M7,KBM-Category-Generations 2.0-Millennials-Struggling to Get Started
GENERS20_G1,KBM-Category-Generations 2.0-Gen Xers-Singles in a Bind
GENERS20_G2,KBM-Category-Generations 2.0-Gen Xers-Late to the Party Parents
GENERS20_G3,KBM-Category-Generations 2.0-Gen Xers-Rustic Outsiders
GENERS20_G4,KBM-Category-Generations 2.0-Gen Xers-Hard-working Renters
GENERS20_G5,KBM-Category-Generations 2.0-Gen Xers-Old Fashioned Success
GENERS20_G6,KBM-Category-Generations 2.0-Gen Xers-Established Family Life
GENERS20_G7,KBM-Category-Generations 2.0-Gen Xers-Shopaholics in the Country
GENERS20_G8,KBM-Category-Generations 2.0-Gen Xers-Struggling Families in Suburbia
GENERS20_T1,KBM-Category-Generations 2.0-Trailing Boomers-May December Families
GENERS20_T2,KBM-Category-Generations 2.0-Trailing Boomers-Boomerang Kids
GENERS20_T3,KBM-Category-Generations 2.0-Trailing Boomers-Loving the Outdoor Life
GENERS20_T4,KBM-Category-Generations 2.0-Trailing Boomers-Rural Techies Making Do
GENERS20_T5,"KBM-Category-Generations 2.0-Trailing Boomers-Healthy, Wealthy, & Urbanized"
GENERS20_T6,KBM-Category-Generations 2.0-Trailing Boomers-Living Paycheck to Paycheck
GENERS20_T7,KBM-Category-Generations 2.0-Trailing Boomers-Strapped Metros
GENERS20_L1,KBM-Category-Generations 2.0-Leading Boomers-Tech-Savvy Empty Nesters
GENERS20_L2,KBM-Category-Generations 2.0-Leading Boomers-Sitting Pretty in the City
GENERS20_L3,KBM-Category-Generations 2.0-Leading Boomers-Mainstream Metros
GENERS20_L4,KBM-Category-Generations 2.0-Leading Boomers-No Rest for the Weary
GENERS20_L5,KBM-Category-Generations 2.0-Leading Boomers-Reaping Their Benefits
GENERS20_L6,KBM-Category-Generations 2.0-Leading Boomers-Multigenerational Togetherness
GENERS20_S1,KBM-Category-Generations 2.0-Seniors-Age Defying Techies
GENERS20_S2,KBM-Category-Generations 2.0-Seniors-Off-The-Grid Seniors
GENERS20_S3,KBM-Category-Generations 2.0-Seniors-Financing The Basics
GENERS20_S4,KBM-Category-Generations 2.0-Seniors-Budget-Conscious Seniors
GENERS20_S5,KBM-Category-Generations 2.0-Seniors-Strapped Seniors in Small Towns
GENERS20_S6,KBM-Category-Generations 2.0-Seniors-Grandfamilies Sharing the Load
GENERS20_S7,KBM-Category-Generations 2.0-Seniors-Conditions & Connections
GENERS20_S8,KBM-Category-Generations 2.0-Seniors-Urban Upper Crust
INSFINEX,KBM-Decile-Insurance Index - Final Expense
INSFINEX_0,KBM-Flags-Insurance Index - Final Expense-0
INSFINEX_1,KBM-Flags-Insurance Index - Final Expense-1
INSFINEX_2,KBM-Flags-Insurance Index - Final Expense-2
INSFINEX_3,KBM-Flags-Insurance Index - Final Expense-3
INSFINEX_4,KBM-Flags-Insurance Index - Final Expense-4
INSFINEX_5,KBM-Flags-Insurance Index - Final Expense-5
INSFINEX_6,KBM-Flags-Insurance Index - Final Expense-6
INSFINEX_7,KBM-Flags-Insurance Index - Final Expense-7
INSFINEX_8,KBM-Flags-Insurance Index - Final Expense-8
INSFINEX_9,KBM-Flags-Insurance Index - Final Expense-9
INSJUVE,KBM-Decile-Insurance Index - Juvenile Life
INSJUVE_0,KBM-Flags-Insurance Index - Juvenile Life-0
INSJUVE_1,KBM-Flags-Insurance Index - Juvenile Life-1
INSJUVE_2,KBM-Flags-Insurance Index - Juvenile Life-2
INSJUVE_3,KBM-Flags-Insurance Index - Juvenile Life-3
INSJUVE_4,KBM-Flags-Insurance Index - Juvenile Life-4
INSJUVE_5,KBM-Flags-Insurance Index - Juvenile Life-5
INSJUVE_6,KBM-Flags-Insurance Index - Juvenile Life-6
INSJUVE_7,KBM-Flags-Insurance Index - Juvenile Life-7
INSJUVE_8,KBM-Flags-Insurance Index - Juvenile Life-8
INSJUVE_9,KBM-Flags-Insurance Index - Juvenile Life-9
INSPAFUN,KBM-Decile-Insurance Index - Prearranged Funeral
INSPAFUN_0,KBM-Flags-Insurance Index - Prearranged Funeral-0
INSPAFUN_1,KBM-Flags-Insurance Index - Prearranged Funeral-1
INSPAFUN_2,KBM-Flags-Insurance Index - Prearranged Funeral-2
INSPAFUN_3,KBM-Flags-Insurance Index - Prearranged Funeral-3
INSPAFUN_4,KBM-Flags-Insurance Index - Prearranged Funeral-4
INSPAFUN_5,KBM-Flags-Insurance Index - Prearranged Funeral-5
INSPAFUN_6,KBM-Flags-Insurance Index - Prearranged Funeral-6
INSPAFUN_7,KBM-Flags-Insurance Index - Prearranged Funeral-7
INSPAFUN_8,KBM-Flags-Insurance Index - Prearranged Funeral-8
INSPAFUN_9,KBM-Flags-Insurance Index - Prearranged Funeral-9
INSTERM,KBM-Decile-Insurance Index - Term Life
INSTERM_0,KBM-Flags-Insurance Index - Term Life-0
INSTERM_1,KBM-Flags-Insurance Index - Term Life-1
INSTERM_2,KBM-Flags-Insurance Index - Term Life-2
INSTERM_3,KBM-Flags-Insurance Index - Term Life-3
INSTERM_4,KBM-Flags-Insurance Index - Term Life-4
INSTERM_5,KBM-Flags-Insurance Index - Term Life-5
INSTERM_6,KBM-Flags-Insurance Index - Term Life-6
INSTERM_7,KBM-Flags-Insurance Index - Term Life-7
INSTERM_8,KBM-Flags-Insurance Index - Term Life-8
INSTERM_9,KBM-Flags-Insurance Index - Term Life-9
INSWHOLE,KBM-Decile-Insurance Index - Whole Life
INSWHOLE_0,KBM-Flags-Insurance Index - Whole Life-0
INSWHOLE_1,KBM-Flags-Insurance Index - Whole Life-1
INSWHOLE_2,KBM-Flags-Insurance Index - Whole Life-2
INSWHOLE_3,KBM-Flags-Insurance Index - Whole Life-3
INSWHOLE_4,KBM-Flags-Insurance Index - Whole Life-4
INSWHOLE_5,KBM-Flags-Insurance Index - Whole Life-5
INSWHOLE_6,KBM-Flags-Insurance Index - Whole Life-6
INSWHOLE_7,KBM-Flags-Insurance Index - Whole Life-7
INSWHOLE_8,KBM-Flags-Insurance Index - Whole Life-8
INSWHOLE_9,KBM-Flags-Insurance Index - Whole Life-9
SSPIDENT,KBM-Decile-Single Service Plan Index - Dental
SSPIDENT_0,KBM-Flags-Single Service Plan Index - Dental-0
SSPIDENT_1,KBM-Flags-Single Service Plan Index - Dental-1
SSPIDENT_2,KBM-Flags-Single Service Plan Index - Dental-2
SSPIDENT_3,KBM-Flags-Single Service Plan Index - Dental-3
SSPIDENT_4,KBM-Flags-Single Service Plan Index - Dental-4
SSPIDENT_5,KBM-Flags-Single Service Plan Index - Dental-5
SSPIDENT_6,KBM-Flags-Single Service Plan Index - Dental-6
SSPIDENT_7,KBM-Flags-Single Service Plan Index - Dental-7
SSPIDENT_8,KBM-Flags-Single Service Plan Index - Dental-8
SSPIDENT_9,KBM-Flags-Single Service Plan Index - Dental-9
SSPIDISA,KBM-Decile-Single Service Plan Index - Disability
SSPIDISA_0,KBM-Flags-Single Service Plan Index - Disability-0
SSPIDISA_1,KBM-Flags-Single Service Plan Index - Disability-1
SSPIDISA_2,KBM-Flags-Single Service Plan Index - Disability-2
SSPIDISA_3,KBM-Flags-Single Service Plan Index - Disability-3
SSPIDISA_4,KBM-Flags-Single Service Plan Index - Disability-4
SSPIDISA_5,KBM-Flags-Single Service Plan Index - Disability-5
SSPIDISA_6,KBM-Flags-Single Service Plan Index - Disability-6
SSPIDISA_7,KBM-Flags-Single Service Plan Index - Disability-7
SSPIDISA_8,KBM-Flags-Single Service Plan Index - Disability-8
SSPIDISA_9,KBM-Flags-Single Service Plan Index - Disability-9
SSPIVISN,KBM-Decile-Single Service Plan Index - Vision
SSPIVISN_0,KBM-Flags-Single Service Plan Index - Vision-0
SSPIVISN_1,KBM-Flags-Single Service Plan Index - Vision-1
SSPIVISN_2,KBM-Flags-Single Service Plan Index - Vision-2
SSPIVISN_3,KBM-Flags-Single Service Plan Index - Vision-3
SSPIVISN_4,KBM-Flags-Single Service Plan Index - Vision-4
SSPIVISN_5,KBM-Flags-Single Service Plan Index - Vision-5
SSPIVISN_6,KBM-Flags-Single Service Plan Index - Vision-6
SSPIVISN_7,KBM-Flags-Single Service Plan Index - Vision-7
SSPIVISN_8,KBM-Flags-Single Service Plan Index - Vision-8
SSPIVISN_9,KBM-Flags-Single Service Plan Index - Vision-9
STLNINDX,KBM-Decile-Student Loan Index
STLNINDX_0,KBM-Flags-Student Loan Index-0
STLNINDX_1,KBM-Flags-Student Loan Index-1
STLNINDX_2,KBM-Flags-Student Loan Index-2
STLNINDX_3,KBM-Flags-Student Loan Index-3
STLNINDX_4,KBM-Flags-Student Loan Index-4
STLNINDX_5,KBM-Flags-Student Loan Index-5
STLNINDX_6,KBM-Flags-Student Loan Index-6
STLNINDX_7,KBM-Flags-Student Loan Index-7
STLNINDX_8,KBM-Flags-Student Loan Index-8
STLNINDX_9,KBM-Flags-Student Loan Index-9
STLINDEX,KBM-Decile-Short Term Loan Index
STLINDEX_0,KBM-Flags-Short Term Loan Index-0
STLINDEX_1,KBM-Flags-Short Term Loan Index-1
STLINDEX_2,KBM-Flags-Short Term Loan Index-2
STLINDEX_3,KBM-Flags-Short Term Loan Index-3
STLINDEX_4,KBM-Flags-Short Term Loan Index-4
STLINDEX_5,KBM-Flags-Short Term Loan Index-5
STLINDEX_6,KBM-Flags-Short Term Loan Index-6
STLINDEX_7,KBM-Flags-Short Term Loan Index-7
STLINDEX_8,KBM-Flags-Short Term Loan Index-8
STLINDEX_9,KBM-Flags-Short Term Loan Index-9
INSTERMA,KBM-Category-Insurance Amount - Term Life
INSTERMA_A,"KBM-Category-Insurance Amount-Term Life-Less than $100,000"
INSTERMA_B,"KBM-Category-Insurance Amount-Term Life-$100,000 to less than $250,000"
INSTERMA_C,"KBM-Category-Insurance Amount-Term Life-$250,000 to less than $500,000"
INSTERMA_D,"KBM-Category-Insurance Amount-Term Life-$500,000 to less than $1,000,000"
INSTERMA_E,"KBM-Category-Insurance Amount-Term Life-$1,000,000 +"
INSWHOLA,KBM-Category-Insurance Amount  - Whole Life
INSWHOLA_A,"KBM-Category-Insurance Amount-Whole Life-Less than $100,000"
INSWHOLA_B,"KBM-Category-Insurance Amount-Whole Life-$100,000 to less than $250,000"
INSWHOLA_C,"KBM-Category-Insurance Amount-Whole Life-$250,000 to less than $500,000"
INSWHOLA_D,"KBM-Category-Insurance Amount-Whole Life-$500,000 to less than $1,000,000"
INSWHOLA_E,"KBM-Category-Insurance Amount-Whole Life-$1,000,000 +"
CHAPAHIP,KBM-Category-Auto/Home Insurance Purchase Distribution Channel
CHAPAHIP_A,KBM-Category-Auto/Home Insurance Purchase Distribution Channel-Agent
CHAPAHIP_D,KBM-Category-Auto/Home Insurance Purchase Distribution Channel-Direct Response
CHAPAHIP_O,KBM-Category-Auto/Home Insurance Purchase Distribution Channel-Online
CHAPAHIQ,KBM-Category-Auto/Home Insurance Quote Distribution Channel
CHAPAHIQ_A,KBM-Category-Auto/Home Insurance Quote Distribution Channel-Agent
CHAPAHIQ_D,KBM-Category-Auto/Home Insurance Quote Distribution Channel-Direct Response
CHAPAHIQ_O,KBM-Category-Auto/Home Insurance Quote Distribution Channel-Online
CHAPLIP,KBM-Category-Life Insurance Purchase Distribution Channel
CHAPLIP_A,KBM-Category-Life Insurance Purchase Distribution Channel-Agent
CHAPLIP_D,KBM-Category-Life Insurance Purchase Distribution Channel-Direct Response
CHAPLIP_O,KBM-Category-Life Insurance Purchase Distribution Channel-Online
CHAPLIQ,KBM-Category-Life Insurance Quote Distribution Channel
CHAPLIQ_A,KBM-Category-Life Insurance Quote Distribution Channel-Agent
CHAPLIQ_D,KBM-Category-Life Insurance Quote Distribution Channel-Direct Response
CHAPLIQ_O,KBM-Category-Life Insurance Quote Distribution Channel-Online
NETW30,KBM-Category-Net Worth 3.0
NETW30_A,KBM-Category-Net Worth 3.0 $0 or Less
NETW30_B,"KBM-Category-Net Worth 3.0 $1 - $4,999"
NETW30_C,"KBM-Category-Net Worth 3.0 $5,000 - $24,999"
NETW30_D,"KBM-Category-Net Worth 3.0 $25,000 - $49,999"
NETW30_E,"KBM-Category-Net Worth 3.0 $50,000 - $74,999"
NETW30_F,"KBM-Category-Net Worth 3.0 $75,000 - $99,999"
NETW30_G,"KBM-Category-Net Worth 3.0 $100,000 - $149,999"
NETW30_H,"KBM-Category-Net Worth 3.0 $150,000 - $249,999"
NETW30_I,"KBM-Category-Net Worth 3.0 $250,000 - $374,999"
NETW30_J,"KBM-Category-Net Worth 3.0 $375,000 - $499,999"
NETW30_K,"KBM-Category-Net Worth 3.0 $500,000 - $749,999"
NETW30_L,"KBM-Category-Net Worth 3.0 $750,000 - $999,999"
NETW30_M,"KBM-Category-Net Worth 3.0 $1,000,000 +"
NETW30_RC,KBM-Category-Net Worth 3.0 Recode
ESTINC30,KBM-Category-Estimated Household Income 3.0
ESTINC30_A,"KBM-Category-Estimated Household Income 3.0 <$15,000"
ESTINC30_B,"KBM-Category-Estimated Household Income 3.0 $15,000-$19,999"
ESTINC30_C,"KBM-Category-Estimated Household Income 3.0 $20,000-$29,999"
ESTINC30_D,"KBM-Category-Estimated Household Income 3.0 $30,000-$39,999"
ESTINC30_E,"KBM-Category-Estimated Household Income 3.0 $40,000-$49,999"
ESTINC30_F,"KBM-Category-Estimated Household Income 3.0 $50,000-$59,999"
ESTINC30_G,"KBM-Category-Estimated Household Income 3.0 $60,000-$74,999"
ESTINC30_H,"KBM-Category-Estimated Household Income 3.0 $75,000-$99,999"
ESTINC30_I,"KBM-Category-Estimated Household Income 3.0 $100,000-$124,999"
ESTINC30_J,"KBM-Category-Estimated Household Income 3.0 $125,000-$149,999"
ESTINC30_K,"KBM-Category-Estimated Household Income 3.0 $150,000-$199,999"
ESTINC30_L,"KBM-Category-Estimated Household Income 3.0 $200,000-$249,999"
ESTINC30_M,"KBM-Category-Estimated Household Income 3.0 $250,000-$399,999"
ESTINC30_N,"KBM-Category-Estimated Household Income 3.0 $400,000-$499,999"
ESTINC30_O,"KBM-Category-Estimated Household Income 3.0 $500,000+"
ESTINC30_RC,KBM-Category-Estimated Household Income 3.0 Recode
ESTDII30,KBM-Category-Dual Income Index 3.0
ESTDII30_0,KBM-Number-Dual Income Index 3.0-0-Most Likely Dual Income
ESTDII30_1,KBM-Number-Dual Income Index 3.0-1
ESTDII30_2,KBM-Number-Dual Income Index 3.0-2
ESTDII30_3,KBM-Number-Dual Income Index 3.0-3
ESTDII30_4,KBM-Number-Dual Income Index 3.0-4
ESTDII30_5,KBM-Number-Dual Income Index 3.0-5
ESTDII30_6,KBM-Number-Dual Income Index 3.0-6
ESTDII30_7,KBM-Number-Dual Income Index 3.0-7
ESTDII30_8,KBM-Number-Dual Income Index 3.0-8
ESTDII30_9,KBM-Number-Dual Income Index 3.0-9-Most Likely Single Income
HCACCPRF_P,KBM-Category-Healthcare Treatment Preference-Personal doctor or personal care physician
HCACCPRF_C,KBM-Category-Healthcare Treatment Preference-Community health clinic or health clinic in retail setting
HCACCPRF_H,KBM-Category-Healthcare Treatment Preference-Hospital or standalone emergency room or urgent care center
HXMBOH,KBM-Decile-Health Index - Manage Business of Health
HXMBOH_0,KBM-Flags-Health Index - Manage Business of Health - 0
HXMBOH_1,KBM-Flags-Health Index - Manage Business of Health - 1
HXMBOH_2,KBM-Flags-Health Index - Manage Business of Health - 2
HXMBOH_3,KBM-Flags-Health Index - Manage Business of Health - 3
HXMBOH_4,KBM-Flags-Health Index - Manage Business of Health - 4
HXMBOH_5,KBM-Flags-Health Index - Manage Business of Health - 5
HXMBOH_6,KBM-Flags-Health Index - Manage Business of Health - 6
HXMBOH_7,KBM-Flags-Health Index - Manage Business of Health - 7
HXMBOH_8,KBM-Flags-Health Index - Manage Business of Health - 8
HXMBOH_9,KBM-Flags-Health Index - Manage Business of Health - 9
HXMH,KBM-Decile-Health Index - Manage Health
HXMH_0,KBM-Flags-Health Index - Manage Health - 0
HXMH_1,KBM-Flags-Health Index - Manage Health - 1
HXMH_2,KBM-Flags-Health Index - Manage Health - 2
HXMH_3,KBM-Flags-Health Index - Manage Health - 3
HXMH_4,KBM-Flags-Health Index - Manage Health - 4
HXMH_5,KBM-Flags-Health Index - Manage Health - 5
HXMH_6,KBM-Flags-Health Index - Manage Health - 6
HXMH_7,KBM-Flags-Health Index - Manage Health - 7
HXMH_8,KBM-Flags-Health Index - Manage Health - 8
HXMH_9,KBM-Flags-Health Index - Manage Health - 9
HXMIOC,KBM-Decile-Health Index - Manage Illness or Condition
HXMIOC_0,KBM-Flags-Health Index - Manage Illness or Condition - 0
HXMIOC_1,KBM-Flags-Health Index - Manage Illness or Condition - 1
HXMIOC_2,KBM-Flags-Health Index - Manage Illness or Condition - 2
HXMIOC_3,KBM-Flags-Health Index - Manage Illness or Condition - 3
HXMIOC_4,KBM-Flags-Health Index - Manage Illness or Condition - 4
HXMIOC_5,KBM-Flags-Health Index - Manage Illness or Condition - 5
HXMIOC_6,KBM-Flags-Health Index - Manage Illness or Condition - 6
HXMIOC_7,KBM-Flags-Health Index - Manage Illness or Condition - 7
HXMIOC_8,KBM-Flags-Health Index - Manage Illness or Condition - 8
HXMIOC_9,KBM-Flags-Health Index - Manage Illness or Condition - 9
HXWEARBL,KBM-Decile-Health Index - Use Wearable Device to Manage Health
HXWEARBL_0,KBM-Flags-Health Index - Use Wearable Device to Manage Health - 0
HXWEARBL_1,KBM-Flags-Health Index - Use Wearable Device to Manage Health - 1
HXWEARBL_2,KBM-Flags-Health Index - Use Wearable Device to Manage Health - 2
HXWEARBL_3,KBM-Flags-Health Index - Use Wearable Device to Manage Health - 3
HXWEARBL_4,KBM-Flags-Health Index - Use Wearable Device to Manage Health - 4
HXWEARBL_5,KBM-Flags-Health Index - Use Wearable Device to Manage Health - 5
HXWEARBL_6,KBM-Flags-Health Index - Use Wearable Device to Manage Health - 6
HXWEARBL_7,KBM-Flags-Health Index - Use Wearable Device to Manage Health - 7
HXWEARBL_8,KBM-Flags-Health Index - Use Wearable Device to Manage Health - 8
HXWEARBL_9,KBM-Flags-Health Index - Use Wearable Device to Manage Health - 9
HIPAYTOL,KBM-Decile-Health Insurance Premium Tolerance Index
HIPAYTOL_0,KBM-Flags-Health Insurance Premium Tolerance Index - 0
HIPAYTOL_1,KBM-Flags-Health Insurance Premium Tolerance Index - 1
HIPAYTOL_2,KBM-Flags-Health Insurance Premium Tolerance Index - 2
HIPAYTOL_3,KBM-Flags-Health Insurance Premium Tolerance Index - 3
HIPAYTOL_4,KBM-Flags-Health Insurance Premium Tolerance Index - 4
HIPAYTOL_5,KBM-Flags-Health Insurance Premium Tolerance Index - 5
HIPAYTOL_6,KBM-Flags-Health Insurance Premium Tolerance Index - 6
HIPAYTOL_7,KBM-Flags-Health Insurance Premium Tolerance Index - 7
HIPAYTOL_8,KBM-Flags-Health Insurance Premium Tolerance Index - 8
HIPAYTOL_9,KBM-Flags-Health Insurance Premium Tolerance Index - 9
MEDSUPBI,KBM-Decile-Medicare Supplement Insurance Buyer Index
MEDSUPBI_0,KBM-Flags-Medicare Supplement Insurance Buyer Index - 0
MEDSUPBI_1,KBM-Flags-Medicare Supplement Insurance Buyer Index - 1
MEDSUPBI_2,KBM-Flags-Medicare Supplement Insurance Buyer Index - 2
MEDSUPBI_3,KBM-Flags-Medicare Supplement Insurance Buyer Index - 3
MEDSUPBI_4,KBM-Flags-Medicare Supplement Insurance Buyer Index - 4
MEDSUPBI_5,KBM-Flags-Medicare Supplement Insurance Buyer Index - 5
MEDSUPBI_6,KBM-Flags-Medicare Supplement Insurance Buyer Index - 6
MEDSUPBI_7,KBM-Flags-Medicare Supplement Insurance Buyer Index - 7
MEDSUPBI_8,KBM-Flags-Medicare Supplement Insurance Buyer Index - 8
MEDSUPBI_9,KBM-Flags-Medicare Supplement Insurance Buyer Index - 9
ETHGRPCD,KBM-Category-Ethnicity- Ethnic Group
HBMULTI,KBM-Decile-Multiple Healthy Behavior Change Index
HBMULTI_0,KBM-Flags-Multiple Healthy Behavior Change Index-0-Most Likely
HBMULTI_1,KBM-Flags-Multiple Healthy Behavior Change Index-1
HBMULTI_2,KBM-Flags-Multiple Healthy Behavior Change Index-2
HBMULTI_3,KBM-Flags-Multiple Healthy Behavior Change Index-3
HBMULTI_4,KBM-Flags-Multiple Healthy Behavior Change Index-4
HBMULTI_5,KBM-Flags-Multiple Healthy Behavior Change Index-5
HBMULTI_6,KBM-Flags-Multiple Healthy Behavior Change Index-6
HBMULTI_7,KBM-Flags-Multiple Healthy Behavior Change Index-7
HBMULTI_8,KBM-Flags-Multiple Healthy Behavior Change Index-8
HBMULTI_9,KBM-Flags-Multiple Healthy Behavior Change Index-9-Least Likely
HBSUST,KBM-Decile-Sustained Healthy Behavior Change Index
HBSUST_0,KBM-Flags-Sustained Healthy Behavior Change Index-0-Most Likely
HBSUST_1,KBM-Flags-Sustained Healthy Behavior Change Index-1
HBSUST_2,KBM-Flags-Sustained Healthy Behavior Change Index-2
HBSUST_3,KBM-Flags-Sustained Healthy Behavior Change Index-3
HBSUST_4,KBM-Flags-Sustained Healthy Behavior Change Index-4
HBSUST_5,KBM-Flags-Sustained Healthy Behavior Change Index-5
HBSUST_6,KBM-Flags-Sustained Healthy Behavior Change Index-6
HBSUST_7,KBM-Flags-Sustained Healthy Behavior Change Index-7
HBSUST_8,KBM-Flags-Sustained Healthy Behavior Change Index-8
HBSUST_9,KBM-Flags-Sustained Healthy Behavior Change Index-9-Least Likely
RXADHM,KBM-Decile-RX - Adherence - Maintenance
RXADHM_0,KBM-Flags-RX-Adherence-Maintenance-0-Most Likely
RXADHM_1,KBM-Flags-RX-Adherence-Maintenance-1
RXADHM_2,KBM-Flags-RX-Adherence-Maintenance-2
RXADHM_3,KBM-Flags-RX-Adherence-Maintenance-3
RXADHM_4,KBM-Flags-RX-Adherence-Maintenance-4
RXADHM_5,KBM-Flags-RX-Adherence-Maintenance-5
RXADHM_6,KBM-Flags-RX-Adherence-Maintenance-6
RXADHM_7,KBM-Flags-RX-Adherence-Maintenance-7
RXADHM_8,KBM-Flags-RX-Adherence-Maintenance-8
RXADHM_9,KBM-Flags-RX-Adherence-Maintenance-9-Least Likely
RXADHS,KBM-Decile-RX - Adherence - Supplement
RXADHS_0,KBM-Flags-RX-Adherence-Supplement-0-Most Likely
RXADHS_1,KBM-Flags-RX-Adherence-Supplement-1
RXADHS_2,KBM-Flags-RX-Adherence-Supplement-2
RXADHS_3,KBM-Flags-RX-Adherence-Supplement-3
RXADHS_4,KBM-Flags-RX-Adherence-Supplement-4
RXADHS_5,KBM-Flags-RX-Adherence-Supplement-5
RXADHS_6,KBM-Flags-RX-Adherence-Supplement-6
